text	tag
Okay... then how 'bout we try out some French cuisine.  Saturday?  Night?	dialogue
Not the hacking and gagging and spitting part.  Please.	dialogue
Well, I thought we'd start with pronunciation, if that's okay with you.	dialogue
Can we make this quick?  Roxanne Korrine and Andrew Barrett are having an incredibly horrendous public break- up on the quad.  Again.	dialogue
You think you ' re the only sophomore at the prom?	dialogue
I don't have to be home 'til two.	dialogue
I have to be home in twenty minutes.	dialogue
All I know is -- I'd give up my private line to go out with a guy like Joey.	dialogue
Sometimes I wonder if the guys we're supposed to want to go out with are the ones we actually want to go out with, you know?	dialogue
Bianca, I don't think the highlights of dating Joey Dorsey are going to include door-opening and coat-holding.	dialogue
Combination.  I don't know -- I thought he'd be different.  More of a gentleman...	dialogue
He practically proposed when he found out we had the same dermatologist. I mean. Dr. Bonchowski is great an all, but he's not exactly relevant party conversation.	dialogue
Would you mind getting me a drink, Cameron?	dialogue
Where did he go?  He was just here.	dialogue
You might wanna think about it	dialogue
Did you change your hair?	dialogue
You know the deal.  I can ' t go if Kat doesn't go --	dialogue
Listen, I want to talk to you about the prom.	dialogue
You're concentrating awfully hard considering it's gym class.	dialogue
My agent says I've got a good shot at being the Prada guy next year.	dialogue
It's a gay cruise line, but I'll be, like, wearing a uniform and stuff.	dialogue
So yeah, I've got the Sears catalog thing going -- and the tube sock gig " that's gonna be huge.  And then I'm up for an ad for Queen Harry next week.	dialogue
Exactly  So, you going to Bogey Lowenbrau's thing on Saturday?	dialogue
Patrick -- is that- a.	dialogue
Is that woman a complete fruit-loop or is it just me?	dialogue
What? To completely damage me?  To send me to therapy forever? What?	dialogue
You looked beautiful last night, you know.	dialogue
I guess I'll never know, will I?	dialogue
Not all experiences are good, Bianca. You can't always trust the people you want to.	dialogue
God, you're just like him! Just keep me locked away in the dark, so I can't experience anything for myself	dialogue
I guess I thought I was protecting you.	dialogue
I'm not stupid enough to repeat your mistakes.	dialogue
No. you didn't!  If you really thought I could make my own decisions, you would've let me go out with him instead of helping Daddy hold me hostage.	dialogue
I wanted to let you make up your own mind about him.	dialogue
Why didn't you tell me?	dialogue
After that, I swore I'd never do anything just because "everyone else" was doing it.  And I haven't since. Except for Bogey's party, and my stunning gastro-intestinal display --	dialogue
Just once.  Afterwards, I told him I didn't want to anymore.  I wasn't ready. He got pissed.  Then he broke up with me.	dialogue
He said everyone was doing it.  So I did it.	dialogue
Now I do.  Back then, was a different story.	dialogue
He was, like, a total babe	dialogue
Joey never told you we went out, did he?	dialogue
I wish I had that luxury. I'm the only sophomore that got asked to the prom and I can't go, because you won ' t.	dialogue
I do care. But I'm a firm believer in doing something for your own reasons, not someone else ' s .	dialogue
Listen, I know you hate having to sit home because I'm not Susie High School.	dialogue
I don't get you.  You act like you're too good for any of this, and then you go totally apeshit when you get here.	dialogue
I really don't think I need any social advice from you right now.	dialogue
Bianca, I need to talk to you -- I need to tell you --	dialogue
You are so completely unbalanced.	dialogue
Yeah, he's your freak friend Mandella's boyfriend.  I guess since I'm not allowed to go out, I should obsess over a dead guy, too.	dialogue
It's Shakespeare.  Maybe you've heard of him?	dialogue
Like I'm supposed to know what that even means.	dialogue
At least I'm not a clouted fen- sucked hedge-pig.	dialogue
Can't you forget for just one night that you're completely wretched?	dialogue
Bogey Lowenstein's party is normal, but you're too busy listening to Bitches Who Need Prozac to know that.	dialogue
You're ruining my life'  Because you won't be normal, I can't be normal.	dialogue
I think you're a freak.  I think you do this to torture me.  And I think you suck.	dialogue
Oh, I thought you might have a date  I don't know why I'm bothering to ask, but are you going to Bogey Lowenstein's party Saturday night?	dialogue
It means that Gigglepuss is playing at Club Skunk and we're going.	dialogue
Oh my God, does this mean you're becoming normal?	dialogue
Can you at least start wearing a bra?	dialogue
I have the potential to smack the crap out of you if you don't get out of my way.	dialogue
Nowhere... Hi, Daddy.	dialogue
I have a date, Daddy.  And he ' s not a captain of oppression like some men we know.	dialogue
I'm missing something.	dialogue
Fine.  I see that I'm a prisoner in my own house.  I'm not a daughter. I'm a possession!	dialogue
You're not going unless your sister goes.  End of story.	dialogue
He's not a "hot rod".  Whatever that is.	dialogue
It's that hot rod Joey, right? That ' s who you want me to bend my rules for?	dialogue
The prom?  Kat has a date?	dialogue
Daddy, I want to discuss the prom with you. It's tomorrow night --	dialogue
Because she'll scare them away.	dialogue
Promise me you won't talk to any boys unless your sister is present.	dialogue
Wear the belly before you go.	dialogue
It's just a party. Daddy.	dialogue
Oh, God.  It's starting.	dialogue
If Kat's not going, you're not going.	dialogue
Daddy, people expect me to be there!	dialogue
It's just a party. Daddy, but I knew you'd forbid me to go since "Gloria Steinem" over there isn't going --	dialogue
Otherwise known as an orgy?	dialogue
If you must know, we were attempting to go to a small study group of friends.	dialogue
And where're you going?	dialogue
But she doesn't want to date.	dialogue
But it's not fair -- she's a mutant, Daddy!	dialogue
Then neither will you.  And I'll get to sleep at night.	dialogue
What if she never starts dating?	dialogue
No! You're not dating until your sister starts dating.  End of discussion.	dialogue
Now don't get upset. Daddy, but there's this boy... and I think he might ask...	dialogue
Just sent 'em through.	dialogue
Padua girls.  One tall, decent body. The other one kinda short and undersexed?	dialogue
Fan of a fan.  You see a couple of minors come in?	dialogue
Didn't have you pegged for a Gigglepuss fan.  Aren't they a little too pre-teen belly-button ring for you?	dialogue
Always a pleasure, Brucie.	dialogue
Best case scenario, you're back on the payroll for awhile.	dialogue
You humiliated the woman! Sacrifice yourself on the altar of dignity and even the score.	dialogue
Buttholus extremus.  But hey, you're making progress.	dialogue
The hell is that?  What kind of 'guy just picks up a girl and carries her away while you're talking to her?	dialogue
Extremely unfortunate maneuver.	dialogue
Hell, I've just been going over the whole thing in my head and -	dialogue
You told me that part already.	dialogue
It's her favorite band.	dialogue
Assail your ears for one night.	dialogue
It's a lung cancer issue	dialogue
Number one.  She hates smokers	dialogue
Are you kidding?  He'll piss himself with joy.  He's the ultimate kiss ass.	dialogue
In that case, we'll need to make it a school-wide blow out.	dialogue
This is it.  A golden opportunity. Patrick can ask Katarina to the party.	dialogue
Like we had a choice?  Besides -- when you let the enemy think he's orchestrating the battle, you're in a position of power. We let him pretend he's calling the shots, and while he's busy setting up the plan, you have time to woo Bianca.	dialogue
You got him involved?	dialogue
Hey -- I've gotta have a few clients when I get to Wall Street.	dialogue
I thought you hated those people.	dialogue
You know, if you do go out with Bianca, you'd be set.  You'd outrank everyone. Strictly A-list.  With me by your side.	dialogue
That's what I just said	dialogue
Did she actually say she'd go out with you?	dialogue
Forget his reputation.  Do you think we've got a plan or not?	dialogue
I'm serious, man, he's whacked.  He sold his own liver on the black market so he could buy new speakers.	dialogue
They always let felons sit in on Honors Biology?	dialogue
No kidding.  He's a criminal.  I heard he lit a state trooper on fire.  He just got out of Alcatraz...	dialogue
He seems like he thrives on danger	dialogue
What makes you think he'll do it?	dialogue
You wanna go out with him?	dialogue
Unlikely, but even so, she still can't go out with you.  So what's the point?	dialogue
I teach her French, get to know her, dazzle her with charm and she falls in love with me.	dialogue
The mewling, rampalian wretch herself.	dialogue
That's her?  Bianca's sister?	dialogue
Yeah, just a minor encounter with the shrew.	dialogue
You could consecrate with her, my friend.	dialogue
You mean I'd get a chance to talk to her?	dialogue
Guess who just signed up for a tutor?	dialogue
Sure do ... my Mom's from Canada	dialogue
Joey Dorsey?  Perma-shit-grin.  I wish I could say he's a moron, but he's number twelve in the class.  And a model.  Mostly regional stuff, but he's rumored to have a big tube sock ad coming out.	dialogue
He always have that shit-eating grin?	dialogue
Because they're bred to.  Their mothers liked guys like that, and their grandmothers before them. Their gene pool is rarely diluted.	dialogue
Why do girls like that always like guys like that?	dialogue
I could start with your haircut, but it doesn't matter.  She's not allowed to date until her older sister does.  And that's an impossibility.	dialogue
Bianca Stratford.  Sophomore. Don't even think about it	dialogue
You burn, you pine, you perish?	dialogue
Yeah, but these guys have never seen a horse.  They just jack off to Clint Eastwood.	dialogue
Couple thousand. Most of them evil	dialogue
How many people go here?	dialogue
How many people were in your old school?	dialogue
Yeah.  A couple.  We're outnumbered by the cows, though.	dialogue
I was kidding. People actually live there?	dialogue
North, actually.  How'd you   ?	dialogue
So -- which Dakota you from?	dialogue
C'mon.  I'm supposed to give you the tour.	dialogue
You makin' any headway?	dialogue
She just needs time to cool off I'll give it a day.	dialogue
She hates you with the fire of a thousand suns .  That's a direct quote	dialogue
I don ' t know.  I decided not to nail her when she was too drunk to remember it.	dialogue
What'd you do to her?	dialogue
Cameron -- do you like the girl?	dialogue
She's partial to Joey, not me	dialogue
What 're you talking about?	dialogue
It's off. The whole thing.	dialogue
Cameron, I'm a little busy	dialogue
Don't make me do it, man	dialogue
Gigglepuss is playing there tomorrow night.	dialogue
So what does that give me?  I'm supposed to buy her some noodles and a book and sit around listening to chicks who can't play their instruments?	dialogue
Okay -- Likes:  Thai food, feminist prose, and "angry, stinky girl music of the indie-rock persuasion".	dialogue
I've retrieved certain pieces of information on Miss Katarina Stratford I think you'll find helpful.	dialogue
What've you got for me?	dialogue
And he means that strictly in a non- prison-movie type of way.	dialogue
And why would I do that?	dialogue
Leave my sister alone.	dialogue
They're running the rest of me next month.	dialogue
Yeah, and I noticed the only part of you featured in your big Kmart spread was your elbow.  Tough break.	dialogue
The vintage look is over, Kat. Haven't you been reading your Sassy?	dialogue
Enough with the Barbie n' Ken shit. I know.	dialogue
I don't know, Dorsey. ..the limo.-the flowers.  Another hundred for the tux --	dialogue
Get her to act like a human	dialogue
Forget her sister, then.	dialogue
A hundred bucks a date.	dialogue
I just upped my price	dialogue
I got her under control. She just acts crazed in public to keep up the image.	dialogue
Watching the bitch trash my car doesn't count as a date.	dialogue
When I shell out fifty, I expect results.	dialogue
Fifty, and you've got your man.	dialogue
Take it or leave it.  This isn't a negotiation.	dialogue
I can't take a girl like that out on twenty bucks.	dialogue
I can't date her sister until that one gets a boyfriend.  And that's the catch. She doesn't want a boyfriend.	dialogue
You're gonna pay me to take out some girl?	dialogue
You got it, Verona.  I pick up the tab, you do the honors.	dialogue
But you'd go out with her if you had the cake?	dialogue
You need money to take a girl out	dialogue
Sure, Sparky.  I'll get right on it.	dialogue
Yeah, whatever.  I want you to go out with her.	dialogue
Two legs, nice rack...	dialogue
Hey -- it's all for the higher good right?	dialogue
You better not fuck this up.  I'm heavily invested.	dialogue
What?  We took bathes together when we were kids.	dialogue
Uh,  yeah.  We're old friend*	dialogue
I hear you're helpin' Verona.	dialogue
So what you need to do is recruit a guy who'll go out with her.  Someone who's up for the job.	dialogue
Does this conversation have a purpose?	dialogue
But she can't go out with you because her sister is this insane head case and no one will go out with her. right?	dialogue
Well, actually, I thought I'd run an idea by you.  You know, just to see if you're interested.	dialogue
Nope - just came by to chat	dialogue
Oh, honey -- tell me we haven't' progressed to full-on hallucinations.	dialogue
William - he asked me to meet him here.	dialogue
Oh, good.  Something new and different for us.	dialogue
You ' re looking at this from the wrong perspective.  We're making a statement.	dialogue
Okay, okay, we won't go.  It's not like I have a dress anyway	dialogue
Listen to you!  You sound like Betty, all pissed off because Archie is taking Veronica.	dialogue
Well, I guess we're not, since we don't have dates .	dialogue
Can you even imagine?  Who the hell would go to this a bastion of commercial excess?	dialogue
I got drunk.  I puked.  I got rejected. It was big fun.	dialogue
I did Bianca a favor and it backfired.	dialogue
You didn't have a choice?  Where's Kat and what have you done with her?	dialogue
I didn't have a choice.	dialogue
You went to the party?  I thought we were officially opposed to suburban social activity.	dialogue
You think this'll work?	dialogue
If I was Bianca, it would be, "Any school you want, precious.  Don't forget your tiara."	dialogue
I appreciate your efforts toward a speedy death, but I'm consuming.  Do you mind?	dialogue
Neither has his heterosexuality.	dialogue
That's never been proven	dialogue
William didn't even go to high school	dialogue
William would never have gone to a state school.	dialogue
So he has this huge raging fit about Sarah Lawrence and insists that I go to his male-dominated, puking frat boy, number one golf team school. I have no say at all.	dialogue
You could always go with me.  I'm sure William has some friends.	dialogue
The people at this school are so incredibly foul.	dialogue
But imagine the things he'd say during sex.	dialogue
I realize that the men of this fine institution are severely lacking, but killing yourself so you can be with William Shakespeare is beyond the scope of normal teenage obsessions.  You're venturing far past daytime talk show fodder and entering the world of those who need very expensive therapy.	dialogue
Mandella, eat.  Starving yourself is a very slow way to die.	dialogue
I'm sure he's completely incapable of doing anything that interesting.	dialogue
That's Pat Verona? The one who was gone for a year? I heard he was doing porn movies.	dialogue
Patrick Verona   Random skid.	dialogue
Don ' t you even dare. . .	dialogue
Oh, Bianca?  Can you get me my freshman yearbook?	dialogue
Because I like to torture you.	dialogue
Why is my veggie burger the only burnt object on this grill?	dialogue
Yeah, but then I fucked up. I fell for her.	dialogue
Besides, I had some extra cash. Some asshole paid me to take out a really great girl.	dialogue
I thought you could use it. When you start your band.	dialogue
A Fender Strat. You bought this?	dialogue
I didn't care about the money.	dialogue
Really?  What was it like?  A down payment now, then a bonus for sleeping with me?	dialogue
You were paid to take me out!  By -- the one person I truly hate.  I knew it was a set-up!	dialogue
It gets worse -- you still have your freshman yearbook?	dialogue
That ' s completely adorable!	dialogue
That's where I was last year.  She'd never lived alone -- my grandfather died -- I stayed with her.  I wasn't in jail, I don't know Marilyn Manson, and I've never slept with a Spice Girl.  I spent a year sitting next to my grandma on the couch watching Wheel of Fortune.  End of story.	dialogue
Look, I'm  -- sorry -- that I questioned your motives.  I was wrong.	dialogue
It's just something I had.  You know	dialogue
It's Scurvy's.  His date got convicted. Where'd you get the dress?	dialogue
How'd you get a tux at the last minute?	dialogue
Nothing!  There's nothing in it for me. Just the pleasure of your company.	dialogue
Answer the question, Patrick	dialogue
You need therapy.  Has anyone ever told you that?	dialogue
So I have to have a motive to be with you?	dialogue
Create a little drama?  Start a new rumor?  What?	dialogue
Because I don't want to. It's a stupid tradition.	dialogue
No, I won't go with you	dialogue
Is that a request or a command?	dialogue
Go to the prom with me	dialogue
You're amazingly self-assured. Has anyone ever told you that?	dialogue
You're sweet.  And sexy.  And completely hot for me.	dialogue
No -- something real.  Something no one else knows.	dialogue
Tell me something true.	dialogue
I know the porn career's a lie.	dialogue
You never disappointed me.	dialogue
So if you disappoint them from the start, you're covered?	dialogue
I don't like to do what people expect. Then they expect it all the time and they get disappointed when you change.	dialogue
Acting the way we do.	dialogue
So what's your excuse?	dialogue
Yeah, well, don't let it get out	dialogue
A soft side? Who knew?	dialogue
I dazzled him with my wit	dialogue
So how'd you get Chapin to look the other way?	dialogue
I figured it had to be something ridiculous to win your respect.  And piss you off.	dialogue
The Partridge Family?	dialogue
You want me to climb up and show you how to get down?	dialogue
Forget it.  I'm stayin'.	dialogue
Put your right foot there --	dialogue
Try lookin' at it from this angle	dialogue
C'mon.  It's not that bad	dialogue
I guess I never told you I'm afraid of heights.	dialogue
He left!  I sprung the dickhead and he cruised on me.	dialogue
Other than my upchuck reflex? Nothing.	dialogue
So what did I have an effect on ?	dialogue
Don't for one minute think that you had any effect whatsoever on my panties.	dialogue
Unwelcome?  I guess someone still has her panties in a twist.	dialogue
I heard there was a poetry reading.	dialogue
What are you doing here?	dialogue
Excuse me, have you seen The Feminine Mystique?  I lost my copy.	dialogue
No offense, but you're sister is without.  I know everyone likes her and all, but ...	dialogue
He just wants me to be someone I'm not.	dialogue
So what ' s up with your dad?  He a pain in the ass?	dialogue
Oh, so now you think you know me?	dialogue
You don't strike me as the type that would ask permission.	dialogue
My father wouldn't approve of that that	dialogue
When you were gone last year -- where were you?	dialogue
But it's Gigglepuss - I know you like them.  I saw you there.	dialogue
And I'm in control of it.	dialogue
You know what they say	dialogue
I thought you were above all that	dialogue
Hey man. . .  You don ' t think I can be "cool"?  You don't think I can be "laid back" like everyone else?	dialogue
I know.  It'd have to be a pretty big deal to get you to mainline tequila. You don't seem like the type.	dialogue
Why'd you let him get to you?	dialogue
Just let me sit down.	dialogue
See that?  Who needs affection when I've got blind hatred?	dialogue
Like you could find one	dialogue
Because then I'd have to start taking out girls who like me.	dialogue
You don't care if I die	dialogue
Why 're you doing this?	dialogue
Leave it to you to use big words when you're shitfaced.	dialogue
This is so patronizing.	dialogue
What if you have a concussion? My dog went to sleep with a concussion and woke up a vegetable. Not that I could tell the difference...	dialogue
I know, just let me sleep	dialogue
Uh, uh. You lie down and you'll go to sleep	dialogue
I just need to lie down for awhile	dialogue
Funny, you're the only one	dialogue
I say, do what you wanna do.	dialogue
"I'm getting trashed, man." Isn't that what you're supposed to do at a party?	dialogue
You know who The Raincoats are?	dialogue
You know, these guys are no Bikini Kill or The Raincoats, but they're right up there.	dialogue
Do you mind?  You're sort of ruining it for me.	dialogue
That's what you want, isn't it?	dialogue
hey.  Great show, huh?	dialogue
Depends on the topic. My fenders don't really whip me into a verbal frenzy.	dialogue
You're not a big talker, are you?	dialogue
I was in the laundromat. I saw your car. Thought I'd say hi.	dialogue
Are you following me?	dialogue
You -- covered in my vomit.	dialogue
Come on -- the ponies, the flat beer, you with money in your eyes, me with my hand on your ass...	dialogue
And why would I do that?	dialogue
Then say you'll spend Dollar Night at the track with me.	dialogue
I don't really think you warrant that strong an emotion.	dialogue
You hate me don't you?	dialogue
I know a lot more than that	dialogue
Like where?  The 7-Eleven on Burnside? Do you even know my name, screwboy?	dialogue
The night I take you to places you've never been before.  And back.	dialogue
Pick you up Friday, then	dialogue
There's a way to get a guy's attention.	dialogue
Sweating like a pig, actually.  And yourself?	dialogue
I mean Wo-man.  How ya doin'?	dialogue
Oh, Christ.  Don't tell me you've changed your mind.  I already sent 'em a check.	dialogue
You know, fathers don't like to admit that their daughters are capable of running their own lives.  It means we've become spectators.  Bianca still lets me play a few innings.  You've had me on the bleachers for years.  When you go to Sarah Lawrence, I won't even be able to watch the game.	dialogue
What's the matter?  Upset that I rubbed off on her?	dialogue
The part where Bianca beat the hell out of some guy.	dialogue
So tell me about this dance. Was it fun?	dialogue
I don't understand the allure of dehydrated food.  Is this something I should be hip to?	dialogue
Yeah.  She left with some bikers Big ones.  Full of sperm.	dialogue
Was that your sister?	dialogue
I want to go to an East Coast school! I want you to trust me to make my own choices.  I want --	dialogue
You're eighteen.  You don't know what you want.  You won't know until you're forty-five and you don't have it.	dialogue
So what I want doesn't matter?	dialogue
As a parent, that's my right	dialogue
Because you're making decisions for me.	dialogue
Why can't we agree on this?	dialogue
I thought you were punishing me.	dialogue
Is this about Sarah Lawrence? You punishing me?	dialogue
Then tell them I had a seizure.	dialogue
My insurance does not cover PMS	dialogue
This from someone whose diary is devoted to favorite grooming tips?	dialogue
I thought we decided you were going to school here.  At U of 0.	dialogue
Am I supposed to feel better? Like, right now?  Or do I have some time to think about it?	dialogue
No ... I believe "heinous bitch" is the term used most often.	dialogue
The point is Kat -- people perceive you as somewhat ...	dialogue
I still maintain that he kicked himself in the balls.  I was merely a spectator.	dialogue
Well, yes, compared to your other choices of expression this year, today's events are quite mild.  By the way, Bobby Rictor's gonad retrieval operation went quite well, in case you're interested.	dialogue
Expressing my opinion is not a terrorist action.	dialogue
Katarina Stratford.  My, my.  You've been terrorizing Ms. Blaise again.	dialogue
Cool pictures.  You a fan?	dialogue
Hey there.  Tired of breathing?	dialogue
Man -- don't say shit like that to  me. People can hear you.	dialogue
Sweet love, renew thy force!	dialogue
You were right. She's still pissed.	dialogue
No - I've got a sweet-payin' job that I'm about to lose.	dialogue
So you got cozy with she who stings?	dialogue
I'm likin' you guys better	dialogue
I prefer to think of it simply as an alternative to what the law allows.	dialogue
Ever been to Club Skunk?	dialogue
Are you telling me I'm a -  "non-smoker"?	dialogue
You two are gonna help me tame the wild beast?	dialogue
Patrick, Pat, you're not looking at the big picture.  Joey's just a pawn. We set this whole thing up so Cameron can get the girl.	dialogue
So Dorsey can get the girl?	dialogue
That's where we can help you.  With Kat.	dialogue
Dorsey can plow whoever he wants. I'm just in this for the cash.	dialogue
I think I speak correctly when I say that Cameron's love is pure.  Purer than say -- Joey Dorsey's.	dialogue
What is it with this chick?  She have three tits?	dialogue
The situation is, my man Cameron here has a major jones for Bianca Stratford.	dialogue
Whatever the hell it is you're standin' there waitin' to say.	dialogue
You're completely demented.	dialogue
Well, you know -- there's the prestige of the job title... and the benefits package is pretty good...	dialogue
You weren't abused, you aren't stupid, and as far as I can tell, you're only slightly psychotic -- so why is it that you're such a fuck-up?	dialogue
Why don't we discuss your driving need to be a hemorrhoid?	dialogue
I'm at a loss, then.  What should we talk about? Your year of absence?	dialogue
I don't understand, Patrick.  You haven't done anything asinine this week. Are you not feeling well?	dialogue
With the teeth of your zipper?	dialogue
It was a bratwurst.  I was eating lunch.	dialogue
It says here you exposed yourself to a group of freshmen girls.	dialogue
That ' s what I thought	dialogue
Did I have anything to say about it?	dialogue
Your daughters went to the prom.	dialogue
But -- who -- what --?	dialogue
Have a great time, honey!	dialogue
What do you wanna watch?  We've got crap, crap, crap or crap	dialogue
Kissing?  Is that what you think happens?  Kissing isn't what keeps me up to my elbows in placenta all day.	dialogue
They'll dance, they'll kiss, they'll come home.  Let her go.	dialogue
Pirate -- no question.	dialogue
Would you rather be ravished by a pirate or a British rear admiral?	dialogue
Jesus!  Can a man even grab a sandwich before you women start dilating?	dialogue
Sarah Lawrence is on the other side of the country.	dialogue
What's a synonym for throbbing?	dialogue
Make anyone cry today?	dialogue
Can't be that far, I say.  Also, I don't like the smell of the sea around here.  Smells like a cunt. Bad sign...	dialogue
We left three weeks ago, Alonso. Can't be that near.	dialogue
We should have seen land.	dialogue
We'll all go crazy...	dialogue
He's the devil's child...	dialogue
With a face like that?  I don't want you looking at me.  You hear?	dialogue
Ah, leave him alone.  He's doing no harm.	dialogue
What are you listening to, chicken ass?	dialogue
You'll be drinking your own piss... For the glory of Spain... and Admiral Colon...!  Bastard!	dialogue
The water's going putrid in the barrels.	dialogue
I never seen heat like this!  Not even in Las Minas!	dialogue
Asia can be found to the west -- and I will prove it.	dialogue
Blind faith is what I consider heresy!	dialogue
Don't you realize your words could be considered heretical?	dialogue
Did He not choose a carpenter's son to reveal Himself to the world?	dialogue
If God intended our proximity to Asia, do you believe he would have waited for you to show it to the world?	dialogue
No.  The Portuguese have already discovered black-skinned people.  I, too, will find other populations -- and bring them to the word of God.	dialogue
Is that all that interests you? Gold?	dialogue
Trade, Your Excellency.  According to Marco Polo, the Kingdom of China is one of the richest of the world. Even the meanest buildings are roofed with gold.	dialogue
If they agree to follow me, yes.	dialogue
Your life, and that of others!	dialogue
Your Eminence, there is only one way to settle the matter.  And that is to make the journey.  I am ready to risk my life to prove it possible.	dialogue
Excellency, you are right.	dialogue
Senor Colon, an experienced captain such as yourself will understand our concern with the crew.  I am not willing to have on my conscience the loss of men who would have relied upon our judgment.	dialogue
Then you cannot ignore that according to their calculations, the circumference of the Earth is approximately...  22,000 leagues or more.  Which makes the ocean... uncrossable.	dialogue
Unfortunately, Don Colon, that is precisely where our opinions differ...  Are you familiar with the work of Aristotle?  Erathostene?  Ptolemeus?	dialogue
Yes, your Eminence.  The voyage should not take more than six or seven weeks.	dialogue
You say Asia can be found by sailing west?	dialogue
A waste...?  Let me tell you something, Arojaz.  If your name, or mine, is ever remembered -- it will only be because of his.	dialogue
What a tragedy... what a waste of a life...	dialogue
You can see for yourself.	dialogue
On the contrary, Your Eminence.  It seems to me the man is preparing his own cross.	dialogue
It won't be easy to get rid of your prophet now, Don Sanchez.	dialogue
Indeed.  The world is full of mercenaries -- and states often make use of them, when it benefits them.  My only concern is the welfare and prosperity of Spain.	dialogue
He is a mercenary!  Did he not already try to convince the King of Portugal of his absurd notions?	dialogue
Naturally.  But I would really deplore the loss of such a potential opportunity for Spain for a... dispute over a point of geography.	dialogue
The Judgment is ours!	dialogue
The State has some reason to be interested in this man's proposition, Your Eminence...	dialogue
I can't keep my eyes off you.  I would like to catch up with all the moments I didn't spend with you.	dialogue
What is it, now?  Tell me...	dialogue
Can't you stay with us a little?	dialogue
Not everything... Do you think I care?  I'm a free man again.  Riches don't make a man rich, they only make him busier...	dialogue
They took everything...	dialogue
They tried... but I didn't let them.	dialogue
God... you're so beautiful!  I can't believe no other man has ever taken you away from me...	dialogue
I can arrange for the Queen to take Fernando and Diego into her service.	dialogue
You don't usually ask.	dialogue
Beatrix, I want to ask you something.	dialogue
That's something you can't decide.	dialogue
I don't want you to wait for me.	dialogue
I'm not asking you to swear to anything.	dialogue
I find that hard to believe.	dialogue
Perhaps I was never meant to live with a woman...	dialogue
I'd love to argue with you sometimes.  But you're never here!	dialogue
Are we going to argue?	dialogue
Well... that's true.  I have a child by a man who won't marry me!  Who's always leaving...	dialogue
I haven't given you much of a life.	dialogue
I could be gone for years.	dialogue
I am afraid this is not the worst news.	dialogue
How could I be?  The mainland has been found.  Exactly as I said it would.	dialogue
I am not a seaman.  But I heard it is no more than a week at sea.  I hope you are not too disappointed.	dialogue
Congratulations.  Then I am free to search for the mainland.	dialogue
Viceroy of the West Indies.	dialogue
My letters of appointment.	dialogue
Don Alonso de Bobadilla.	dialogue
Bartolome and Giacomo Colon.	dialogue
Forgive me, Don Bobadilla -- those positions have already been taken.	dialogue
I understand that you will soon be appointing Governors for the islands?  Is it not so?	dialogue
Tell me the first thing that comes to your mind.	dialogue
Really?  God... I wouldn't know where to start... and yet...	dialogue
I want you to tell me everything you remember, Father.  From the beginning.  Everything.	dialogue
He never had one... except aboard my ships!	dialogue
He asks when he can come to visit you.  He left his address.	dialogue
I am not listening, Father.  But I can't help hearing.	dialogue
What are you listening to?	dialogue
There must be a passage to that other ocean.	dialogue
How are you feeling, Fernando?	dialogue
I have to explore the mainland.	dialogue
Yes... Yes, I do... On all of them!	dialogue
Do you swear on all the Holy Saints in heaven?	dialogue
You promise?  Do you swear on St. Christopher...?	dialogue
I want to go with you!	dialogue
All of them created by people like me.	dialogue
Roofs... towers, palaces... spires...	dialogue
Look out of that window.	dialogue
